,0
Strange BA,26.9458344404026
Devlin JT,21.7085596660597
Russell RP,25.0368721852037
Davis MH,30.7714078623904
Price CJ,18.8687911091662
Moss HE,39.3148470837148
Fadili MJ,3.24477863520240
Tyler LK,36.6384620494697
Rubia K,40.8189707529388
Russell T,10.9740243534068
Taylor E,30.5191579074728
Sommer IE,30.2826206130045
Ramsey NF,17.7291159336793
Kahn RS,14.4685825270207
Dukelow SP,35.7151837018053
DeSouza JF,42.1159880545880
van den Berg AV,10.9745069865851
Menon RS,26.6963618730241
Vilis T,18.2308508068482
Backus BT,95.5882352941176
Fleet DJ,34.4117647058823
Parker AJ,18.0017651797561
Heeger DJ,40.0563949263916
Shergill SS,14.4700163620998
Cameron LA,13.4432062298604
Wilson SJ,11.8120540563078
McMahon KL,5.62264497794905
Muthiah S,37.7757352941176
Lotze M,31.3756174530951
Flor H,9.55044744091089
Larbig W,9.76685650385121
Birbaumer N,25.8721281606336
Milham MP,78.5707096031068
Banich MT,44.0761533771125
Webb A,35.7330980536754
Barad V,21.4398588322052
Wszalek T,7.71834917959388
Kramer AF,30.3143101285105
Zysset S,12.7686724837297
Muller K,11.0171991807345
Lehmann C,8.73885345323216
Thone-Otto AI,0.449687716863289
Kato C,2.86054468952673
Moriya T,0.703276047261009
Bavelier D,49.2159422082133
Brozinsky C,34.2877282491944
Tomann A,20.5726369495166
Mitchell T,6.34892851366048
Neville H,7.40614930182599
Liu G,8.64847574383698
Hare RD,18.8238335513463
Mendrek A,8.35495355074590
Forster BB,10.4949126377590
Brink J,9.65753641128289
Nahas Z,38.0089066017393
Lomarev M,21.4437429037156
Roberts DR,16.3023444256352
Shastri A,9.78140665538111
Lorberbaum JP,50.1270773873825
Teneback C,3.52130639593720
McConnell K,2.11278383756232
Vincent DJ,1.26767030253739
Li X,3.09703627984620
George MS,19.3709048266595
Bohning DE,12.7099803263159
Hall DA,27.2220346785331
Johnsrude IS,31.4612454428718
Haggard MP,14.5911654135338
Palmer AR,10.6222475832438
Akeroyd MA,5.25281954887218
Summerfield AQ,40.5310150375940
Gorno-Tempini ML,23.3888872868833
Ploghaus A,148.746118457734
Narain C,56.7670251263006
Beckmann CF,32.9988081430049
Clare S,23.3132220998395
Bantick S,18.1053558511875
Wise R,13.2936166909094
Matthews PM,23.6371034970854
Rawlins JN,4.00424734747668
Tracey I,42.8193813597646
Shin LM,31.1445460762785
Pitman RK,63.5990387302599
Macklin ML,14.0764501857309
Lasko NB,13.9113153867443
Orr SP,3.22895056140923
Reddy H,8.23039848297295
Bendahan D,2.96294345387026
Lee MA,1.77776607232216
Johansen-Berg H,36.7715661311065
Donaghy M,4.59967028829189
Hilton-Jones D,0.383997471621586
Dudukovic NM,93.2306124219292
Thomason ME,36.4585420983994
Vaidya CJ,18.2221352431141
Bornhovd K,47.5798872180451
Quante M,23.3368018259936
Glauche V,5.53537174011727
Bromm B,8.40124865735768
Weiller C,19.8866233155537
Gagnon D,27.5735294117647
O'Driscoll GA,5.13400391158093
Cooke A,46.1732171163763
Zurif EB,26.9469378285402
DeVita C,8.27245931476525
Alsop D,3.03126240588703
Koenig P,7.59299088953019
Detre J,4.20687756176433
Gee J,8.52143390082067
Pinango M,1.25723633132837
Balogh J,0.754341798797021
Grossman M,15.0131232935464
Di Russo F,108.064325692978
Martinez A,50.9065402335138
Sereno MI,39.6589286391170
Pitzalis S,12.9296564659976
Hillyard SA,71.1868127684349
Glosser G,6.87549602812987
Jones DK,62.5167830290011
Gasston D,7.70087314036991
Horsfield MA,4.17583169239066
Howard R,22.0585392051557
Weniger G,6.59739663770623
Irle E,3.95843798262374
Muller HJ,3.49281835516005
Rowe J,36.4979162679666
Lees A,7.69978517722878
Passingham R,36.3419779870018
Bantick SJ,273.563372717508
Wise RG,29.4910961767697
Smith SM,49.5470912307218
Sack AT,21.8773130578065
Hubl D,7.46013340042691
Prvulovic D,13.2879885288655
Maurer K,0.471005618319080
Boakye M,1.67830290010741
Krauss BR,4.22799459839743
Huckins SC,0.362513426423201
Zhang L,8.42570507959952
Szeverenyi NM,1.71831364124597
Hodge CJ Jr,1.00698174006445
Fincham JM,12.7992326072518
Carter CS,17.8249036909310
van Veen V,36.2022900763359
Stenger VA,11.6801156353524
Anderson JR,13.2355698680969
Ostrowsky K,182.515440386681
Magnin M,31.7400881405194
Ryvlin P,39.4233351235231
Isnard J,23.9279720845934
Guenot M,11.4525500793473
Fabri M,19.8972275823657
Polonara G,7.16300192965166
Quattrini A,2.18382352941176
Salvolini U,4.01171917322391
Ino T,17.2816718934369
Inoue Y,5.94219924812030
Kage M,7.61278195488722
Hirose S,5.82335631489778
